Mã học phần 	Tên học phần	Tín chỉ
CT232H	Đánh giá hiệu năng mạng	3
CT233	Điện toán đám mây	3
CT234	Phát triển phần mềm nhúng	3
CT235	Quản trị mạng trên MS Windows	3
CT238E	Phân lớp dữ liệu lớn	3
CT239E	Niên luận cơ sở ngành KTPM	3
CT239HE	Niên luận cơ sở ngành	3
CT240E	Nguyên lý xây dựng phần mềm	3
CT241	Phân tích yêu cầu phần mềm	3
CT242	Kiến trúc và Thiết kế phần mềm	3
CT243	Đảm bảo chất lượng và Kiểm thử phần mềm	4
CT244	Bảo trì phần mềm	3
CT244H	Bảo trì phần mềm	2
CT246	Lập trình .NET	3
CT250E	Niên luận ngành Kỹ thuật phần mềm	3
CT250HE	Niên luận chuyên ngành	3
CT251	Phát triển ứng dụng trên Windows	3
CT252E	Niên luận cơ sở ngành hệ thống thông tin	3
CT252HE	Niên luận cơ sở ngành HTTT-CLC	3
CT254	Bảo mật, an toàn hệ thống thông tin	3
CT254E	Bảo mật, an toàn hệ thống thông tin	3
CT254HE	Bảo mật, an toàn hệ thống thông tin	3
CT255	Nghiệp vụ thông minh	3
CT255E	Nghiệp vụ thông minh	3
CT255H	Nghiệp vụ thông minh	3
CT258	Phát triển hệ thống thương mại điện tử	3
CT258E	Phát triển hệ thống thương mại điện tử	3
CT259	Tổng quan về hệ thống e-Learning	3
CT259E	Tổng quan về hệ thống e-learning	3
CT263E	Niên luận ngành hệ thống thông tin	3
CT263HE	Niên luận chuyên ngành HTTT-CLC	3
CT265	Hệ cơ sở dữ liệu đa phương tiện	3
CT266	Lập trình game	3
CT271E	Niên luận cơ sở - CNTT	3
CT272	Thương mại điện tử - CNTT	3
CT273	Giao diện người - máy	3
CT273E	Giao diện người - máy	3
CT274	Lập trình cho thiết bị di động	3
CT275	Công nghệ web	3
CT276	Lập trình Java	3
CT279	Blockchain	3
CT280	Cơ sở dữ liệu NoSQL	3
CT282E	Học sâu (Deep Learning)	3
CT283	Hệ thống chịu lỗi	3
CT284E	Hệ thống hỏi đáp	3
CT287	Kiểm chứng mô hình	3
CT287H	Kiểm chứng mô hình	3
CT288	Kiến trúc phần mềm theo mô hình Client-Server	3
CT290E	Lập trình trò chơi	3
CT291	Lập trình ứng dụng	3
CT291H	Lập trình ứng dụng	3
CT292	Lý thuyết thông tin	3
CT293	Mạng và truyền thông dữ liệu	3
CT294	Máy học ứng dụng	3
CT294H	Máy học ứng dụng	3
CT295	Nền tảng phần mềm nhúng và IoT	3
CT295E	Nền tảng phần mềm nhúng và IoT	3
CT295H	Nền tảng phần mềm nhúng và IoT	3
CT296	Phân tích và thiết kế hệ thống thông tin	3
CT297	Pháp y máy tính	3
CT299	Phát triển hệ thống web	3
CT300	Phát triển phần mềm	3
CT301H	An ninh mạng	3
CT302H	Thiết kế và cài đặt mạng	3
CT303H	Quản trị mạng Windows nâng cao	3
CT304H	Quản trị mạng Linux nâng cao	3
CT305H	Lập trình mạng	3
CT306H	Lập trình song song	3
CT307H	Mạng không dây và mạng di động	3
CT308H	Thương mại điện tử	3
CT309H	Hệ thống hoạch định nguồn lực doanh nghiệp	3
CT310H	Phát triển ứng dụng chuyên nghiệp với .NET	3
CT311H	Phát triển ứng dụng Java	3
CT312	Khai khoáng dữ liệu	3
CT312E	Khai khoáng dữ liệu	3
CT312H	Lập trình cho các thiết bị di động	3
CT313H	Công nghệ và dịch vụ Web	3
CT314H	Quy trình và công cụ phát triển phần mềm	3
CT316E	Xử lý ảnh	3
CT332	Trí tuệ nhân tạo	3
CT333H	Quản trị mạng	3
CT335	Thiết kế và cài đặt mạng	3
CT335H	Thiết kế và triển khai hệ thống mạng	3
CT338	Mạng không dây và di động	2
CT344	Giải quyết sự cố mạng	2
CT344H	Giải quyết sự cố mạng	3
CT353H	Hệ quản trị cơ sở dữ liệu	3
CT361	Trường điện từ	2
CT363	Kỹ thuật Anten và truyền sóng	3
CT371E	Mạng thông tin di động	3
CT372	Mạng viễn thông	3
CT376E	Điện tử công nghiệp	3
CT377	Lý thuyết điều khiển tự động	3
CT377H	Lý thuyết điều khiển tự động	3
CT378	Cảm biến và chuyển năng	2
CT386	Thông tin số	3
CT391	Cơ sở viễn thông	3
CT394E	Chuyên đề Viễn thông	2
CT398	Điều khiển mờ	2
CT398H	Điều khiển mờ	2
CT400	Chuyên đề kỹ thuật điều khiển	2
CT400H	Chuyên đề kỹ thuật điều khiển	2
CT409E	Lập trình nhúng	3
CT415	Thực tập thực tế	2
CT419	Thông tin sợi quang	3
CT423	Kỹ thuật truyền số liệu	2
CT428	Lập trình Web	3
CT435H	Kỹ thuật phát hiện tấn công mạng	3
CT436HE	Niên luận cơ sở mạng máy tính và truyền thông	3
CT439E	Niên luận mạng máy tính và truyền thông	3
CT439HE	Niên luận chuyên ngành mạng máy tính và truyền thông	3
CT441	Đồ án Kỹ thuật điện tử	2
CT446	Ngôn ngữ lập trình mô phỏng	3
CT449	Phát triển ứng dụng Web	3
CT453	Mỹ thuật web	2
CT457	Phát triển phần mềm nhúng và IoT	3
CT458E	Thực tập doanh nghiệp - KTPM	5
CT460E	Quản lý quy trình nghiệp vụ	3
CT466E	Niên luận - CNTT	3
CT467	Quản trị dữ liệu	3
CT478	Trung tâm dữ liệu	3
CT479	Phương pháp tính	3
CT482	Xử lý dữ liệu lớn	3
CT482H	Xử lý dữ liệu lớn	3
CT483	Chuyên đề lập trình trên di động	3
CT484	Phát triển ứng dụng di động	3
CT485	Các kỹ thuật tấn công mạng	3
CT486	Phát hiện và phân tích mã độc	3
CT487	Học sâu cho công nghệ phần mềm	3
CT488	Bảo mật hệ thống IoT	2
CT489E	Luật an ninh mạng và đạo đức trong lĩnh vực CNTT	2
CT490	An ninh Web	3
CT490H	An ninh Web	3
CT491E	Niên luận cơ sở an toàn thông tin	3
CT492E	Niên luận an toàn thông tin	3
CT493E	Thực tập doanh nghiệp - An toàn thông tin	5
CT495	Dựng phim hoạt hình	3
CT496	Kịch bản truyền hình	3
CT497	Thiết kế quảng cáo truyền hình	3
CT499	Thiết kế UI,UX	3
CT500E	Niên luận cơ sở - TTDPT	3
CT501E	Tiểu luận tốt nghiệp - CNTT	6
CT501H	Niên luận chuyên ngành	3
CT502E	Niên luận - TTDPT	3
CT503E	Tiểu luận tốt nghiệp - HTTT	6
CT504E	Tiểu luận tốt nghiệp - KHMT	6
CT505E	Tiểu luận tốt nghiệp - KTPM	6
CT507E	Tiểu luận tốt nghiệp - TT&MMT	6
CT508E	Thực tập doanh nghiệp - TTDPT	5
CT509	Truyền thông trên Internet	3
CT511E	Thực tập doanh nghiệp - HTTT	5
CT511HE	Thực tập doanh nghiệp HTTT-CLC	5
CT512	Điện toán đám mây và IoT	3
CT512H	Điện toán đám mây và IoT	3
CT516E	Thực tập doanh nghiệp - KHMT	5
CT517E	Thực tập doanh nghiệp - MMT&TTDL	5
CT517HE	Thực tập doanh nghiệp - MMT&TTDL	5
CT518E	Thực tập doanh nghiệp - CNTT	5
CT518H	Thực tập doanh nghiệp	5
CT520E	Tiểu luận tốt nghiệp - ATTT	6
CT521E	Tiểu luận tốt nghiệp - TTDPT	6
CT522	Nền tảng về internet vạn vật	3
CT523	Phát triển ứng dụng Web đa phương tiện	3
CT524	Hệ thống quản trị nội dung	3
CT525	Thực tế tăng cường	3
CT526	Triển khai ứng dụng Thương mại điện tử	3
CT527	Thiết kế đồ họa ứng dụng quảng cáo thương hiệu	3
CT528	Phát triển trò chơi đa phương tiện	3
CT529	Quản trị dự án Truyền thông đa phương tiện	3
CT530	Chuyên đề báo chí Văn hóa	2
CT531	Chuyên đề báo chí Sự kiện	2
CT532	Chuyên đề báo chí Du lịch	2
CT533	Kỹ năng biên tập	3
CT534	Thiết kế nhãn hiệu	2
CT535	Tiếp thị trên mạng xã hội	3
CT536	Kịch bản truyền thông	3
CT537	Thực tế báo chí	2
CT538	Kỹ năng truyền thông giao tiếp	3
CT540	Trí tuệ nhân tạo cho STEM và IoT	3
CT541	Trí tuệ nhân tạo cho Xử lý ngôn ngữ tự nhiên	3
CT542	Xử lý ảnh và thị giác máy tính	3
CT543	Trí tuệ nhân tạo trong y học	3
CT544	Trí tuệ nhân tạo trong nông nghiệp	3
CT545	Xử lý âm thanh và tiếng nói	3
CT546	Trí tuệ nhân tạo trong môi trường	3
CT547	Trí tuệ nhân tạo trong Robotics	3
CT548	Trí tuệ nhân tạo trong giáo dục	3
CT548HE	Thực tập doanh nghiệp - KTPM	5
CT549	Phát triển ứng dụng Trí tuệ nhân tạo	3
CT550E	Luận văn tốt nghiệp - CNTT	15
CT550H	Luận văn tốt nghiệp - CNTTCLC	15
CT551E	Luận văn tốt nghiệp - HTTT	15
CT551HE	Luận văn tốt nghiệp HTTT-CLC	15
CT552E	Luận văn tốt nghiệp - KHMT	15
CT553E	Luận văn tốt nghiệp - KTPM	15
CT555E	Luận văn tốt nghiệp - TT&MMT	15
CT555HE	Luận văn tốt nghiệp - MMT&TTDL	15
CT556E	Luận văn tốt nghiệp - ATTT	15
CT557E	Luận văn tốt nghiệp - TTDPT	15
CT558E	Thực tập doanh nghiệp - Trí tuệ nhân tạo	5
CT559E	Niên luận cơ sở ngành Trí tuệ nhân tạo	3
CT560E	Niên luận ngành Trí tuệ nhân tạo	3
CT561E	Tiểu luận tốt nghiệp - Trí tuệ nhân tạo	6
CT561HT	Ứng dụng thị giác máy tính trong hệ thống thông tin	3
CT561T	Ứng dụng thị giác máy tính trong hệ thống thông tin	3
CT562HT	Phân tích và thiết kế giải thuật nâng cao	3
CT562T	Phân tích và thiết kế giải thuật nâng cao	3
CT563HT	Máy học nâng cao	3
CT563T	Máy học nâng cao	3
CT564HT	Thị giác máy tính nâng cao	3
CT564T	Thị giác máy tính nâng cao	3
CT565HT	Xử lý ngôn ngữ tự nhiên nâng cao	3
CT565T	Xử lý ngôn ngữ tự nhiên nâng cao	3
CT566HT	Phần mềm tự do mã nguồn mở	3
CT566T	Phần mềm tự do mã nguồn mở	3
CT567HT	Xử lý ngôn ngữ tự nhiên	3
CT567T	Xử lý ngôn ngữ tự nhiên	3
CT568HT	Chuyên đề phát triển các hệ thống thông tin thông minh	3
CT568T	Chuyên đề phát triển các hệ thống thông tin thông minh	3
CT569HT	Công nghệ blockchain	3
CT569T	Công nghệ Blockchain	3
CT570HT	Web ngữ nghĩa	3
CT570T	Web ngữ nghĩa	3
CT571HT	Dữ liệu lớn	3
CT571T	Dữ liệu lớn	3
CT572HT	Hệ thống quản trị tri thức	3
CT572T	Hệ thống quản trị tri thức	3
CT573HT	Tiếp thị và kinh doanh kỹ thuật số	3
CT574HT	Cơ sở dữ liệu nâng cao	3
CT574T	Cơ sở dữ liệu nâng cao	3
CT575T	Tìm kiếm thông tin	3
CT576T	Phân tích và thiết kế hệ thống nâng cao	3
CT577T	Cơ sở toán cho tin học	3
CT578T	Chuyên đề thị giác máy tính và xử lý ảnh	3
CT579ET	Hệ cơ sở tri thức	3
CT580T	Khám phá tri thức và khai thác dữ liệu	3
CT581	Thực hành sản xuất chương trình	2
CT582H	Phân tích và Thiết kế phần mềm	3
CT583H	Đảm bảo chất lượng và Kiểm thử phần mềm	3
CT584T	Chuyên đề xử lý ngôn ngữ tự nhiên	3
CT585T	Chuyên đề khai thác trực quan dữ liệu	3
CT586T	Trí tuệ nhân tạo nâng cao	3
CT590E	Luận văn tốt nghiệp - Trí tuệ nhân tạo	15
CT594HE	Luận văn tốt nghiệp - KTPMCLC	15
FL001	Pháp văn căn bản 1 (*)	4
FL002	Pháp văn căn bản 2 (*)	3
FL003	Pháp văn căn bản 3 (*)	3
FL007	Pháp văn tăng cường 1 (*)	4
FL008	Pháp văn tăng cường 2 (*)	3
FL009	Pháp văn tăng cường 3 (*)	3
FL010H	Nghe nói và ngữ âm thực hành (*)	4
FL011H	Đọc hiểu (*)	3
FL012H	Viết (*)	3
FL013H	Ngữ pháp ứng dụng (*)	2
FL014H	Kỹ năng thuyết trình (*)	3
FL100H	Thi đánh giá năng lực tiếng Anh (*)	2
FL101H	Ngữ pháp trung cấp	2
FL102H	Ngữ pháp nâng cao	2
FL103H	Ngữ âm thực hành 1	2
FL104H	Ngữ âm thực hành 2	2
FL105H	Nghe Nói 1 - Kỹ năng giao tiếp căn bản	3
FL106H	Nghe Nói 2 - Kỹ năng giao tiếp trung cấp 1	3
FL107H	Nghe Nói 3 - Kỹ năng giao tiếp trung cấp 2	2
FL108H	Nghe Nói 4 - Kỹ năng giao tiếp nâng cao	2
FL109H	Nghe Nói 5 - Kỹ năng nói trước công chúng	2
FL110H	Đọc 1 - Kỹ năng đọc hiểu căn bản	2
FL111H	Đọc 2 - Kỹ năng đọc hiểu trung cấp 1	2
FL112H	Đọc 3 - Kỹ năng đọc hiểu trung cấp 2	2
FL113H	Đọc 4 - Kỹ năng đọc hiểu nâng cao	2
FL114H	Đọc 5 - Đọc mở rộng	2
FL115H	Viết 1 - Viết đoạn	2
FL116H	Viết 2 - Các thể loại luận 1	2
FL117H	Viết 3 - Các thể loại luận 2	2
FL118H	Viết 4 - Văn bản xã hội	2
FL119H	Viết 5- Văn bản khoa học	2
FL200H	Thi đánh giá năng lực tiếng Anh - NNA (*)	2
FL201HE	Dẫn luận ngôn ngữ	2
FL202H	Ngữ âm và âm vị học tiếng Anh	2
FL203E	Dạy học các môn khoa học bằng Tiếng Anh	2
FL203H	Từ pháp học và cú pháp học tiếng Anh	3
FL204	Dạy học Tiếng Anh qua nhiệm vụ và dự án	3
FL204HE	Ngữ nghĩa học và ngữ dụng học tiếng Anh	3
FL205	Đọc - Viết B1	3
FL205H	Dẫn luận văn chương	3
FL206	Đọc - Viết B2.1	3
FL207	Đọc - Viết B2.2	3
FL207H	Văn hóa các nước nói tiếng Anh	3
FL208	Đọc - Viết C1.1	3
FL208H	Dịch thuật đại cương	2
FL209H	Biên dịch căn bản	2
FL210H	Phiên dịch đuổi căn bản	2
FL211E	Đọc phát triển kỹ năng phản biện	2
FL211H	Phương pháp nghiên cứu khoa học trong lĩnh vực Ngôn ngữ và Văn hóa	2
FL212	Giao tiếp liên văn hóa	3
FL212H	Thực tế ngoài trường	2
FL213E	Giao tiếp qua phương tiện công nghệ thông tin	2
FL215	Kỹ năng thuyết trình	2
FL215H	Kỹ năng hợp tác và giải quyết vấn đề	2
FL216	Kỹ thuật phiên dịch tiếng Pháp	2
FL216H	Kỹ năng nghề nghiệp	2
FL217HE	Khoa học lãnh đạo	2
FL219	Nghe - Nói B1	3
FL220	Nghe - Nói B2.1	3
FL221	Nghe - Nói B2.2	3
FL222	Nghe - Nói C1.1	3
FL223	Nghe - Nói C1.2	2
FL225	Nghe - Nói C1.3	2
FL226	Giao thoa văn hóa Tiếng Pháp	3
FL227	Giảng dạy các yếu tố ngôn ngữ	3
FL228	Lý luận dạy học tiếng Pháp	2
FL229	Lý luận dạy học tiếng Anh	2
FL230	Đánh giá chất lượng bản dịch	2
FL231	Phiên dịch nối tiếp căn bản	3
FL232	Phiên dịch nối tiếp trung cấp	3
FL233	Phiên dịch nối tiếp nâng cao	3
FL235	Phiên dịch song song căn bản	3
FL236E	Ngữ pháp văn bản tiếng Pháp	2
FL239	Phiên dịch song song nâng cao	3
FL240	Phát triển năng lực tự học Tiếng Anh	2
FL244E	Biên dịch văn học điện ảnh	3
FL245	Quá trình tiếp thu ngôn ngữ thứ hai - Anh văn	3
FL246E	Quản lý hoạt động dạy học Tiếng Anh	2
FL247E	Tiếng Anh định hướng nghề nghiệp	3
FL248	Tiếng Anh du lịch	3
FL249	Tiếng Anh kinh doanh	3
FL250	Tiếng Anh marketing	3
FL251	Tiếng Anh nhà hàng khách sạn	3
FL252E	Tiếng Anh thư tín thương mại và văn phòng	3
FL253	Tiếng Pháp du lịch	3
FL254E	Tiếng Pháp lĩnh vực nhà hàng	2
FL255	Tiếng Pháp nhà hàng và khách sạn	3
FL256E	Tiếp cận các bài thi Tiếng Anh quốc tế	2
FL257	Tình huống phát ngôn tiếng Pháp	2
FL259	Tổng quan về giảng dạy tiếng Anh	3
FL261	Viết 4 - PV	2
FL263	Viết nâng cao - PV	3
FL264	Phân tích diễn ngôn	3
FL265	Văn hóa các nước nói tiếng Anh	3
FL266	Phiên dịch du lịch	3
FL267E	Biên dịch thư tín thương mại	3
FL268	Phân tích tác nghiệp - PV	2
FL269	Sử dụng tài liệu thực trong giảng dạy - PV	2
FL270	Ngữ âm thực hành nâng cao - PV	2
FL271	Phát triển chương trình giảng dạy tiếng Pháp	2
FL272	Đánh giá kết quả học tập Tiếng Pháp	3
FL273E	Khai thác học liệu trực tuyến tiếng Pháp	2
FL274E	Khai thác các phần mềm dạy học tiếng Pháp	2
FL275E	Giảng dạy từ vựng - PV	2
FL276	Giảng dạy từ vựng nâng cao - PV	2
FL277	Phương pháp nghiên cứu khoa học Tiếng Pháp	2
FL278	Phát triển chương trình giáo dục môn tiếng Anh	2
FL279	Biên dịch căn bản	3
FL280	Biên dịch trung cấp	3
FL281	Thực tập ngoài trường - Anh văn	4
FL281H	Thực tập ngoài trường	4
FL282	Phân tích dữ liệu nghiên cứu	3
FL282H	Phân tích dữ liệu nghiên cứu	2
FL284H	Phê bình văn học	2
FL285	Thực tập ngoài trường - PV	3
FL286	Đọc - Viết C1.2	3
FL287	Kỹ năng giao tiếp trong giảng dạy tiếng Anh	2
FL288E	Viết học thuật	2
FL289	Phương pháp nghiên cứu khoa học trong giảng dạy tiếng Anh	2
FL290	Dịch thuật trong giảng dạy tiếng Anh	2
FL291	Văn chương trong giảng dạy tiếng Anh	2
FL292	Tổ chức hoạt động trải nghiệm và hướng nghiệp trong dạy học tiếng Pháp	2
FL293	Xây dựng kế hoạch bài dạy Tiếng Pháp	2
FL294	Tổ chức hoạt động trải nghiệm trong giảng dạy Tiếng Anh	2
FL301H	Tiếng Anh văn phòng	2
FL302H	Tiếng Anh kinh doanh	2
FL303H	Tiếng Anh du lịch	2
FL304H	Tiếng Anh nhà hàng-khách sạn	2
FL305H	Quản trị kinh doanh nhà hàng	2
FL306H	Quản trị du lịch và dịch vụ	2
FL307H	Marketing căn bản	2
FL308H	Khởi nghiệp	2
FL309H	Nghi thức ngoại giao	2
FL402H	Tiểu luận tốt nghiệp	4
FL403H	Văn học Anh - Mỹ	2
FL404H	Phân tích diễn ngôn tiếng Anh	2
FL405HE	Giao tiếp liên văn hóa	2
FL406H	Biên dịch nâng cao	2
FL407H	Phiên dịch đuổi nâng cao	2
FL408H	Ngôn ngữ học đối chiếu	2
FL501H	Luận văn tốt nghiệp Ngôn ngữ Anh	10
FS440C	Vi sinh thực phẩm	2
FS441C	TT. Vi sinh thực phẩm	1
HG105	Sản xuất và kinh doanh trong trồng trọt	2
HG106	Sản xuất và kinh doanh trong chăn nuôi	2
HG107	Sản xuất và kinh doanh trong thủy sản	2
HG108	Tiêu chuẩn thị trường nông sản	3
HG109	Nghiệp vụ xuất nhập khẩu nông sản	3
HG152	Thực tập cơ sở ngành Kinh doanh nông nghiệp	2
HG153	Thực tập tốt nghiệp	3
HG201E	Khởi sự doanh nghiệp nông nghiệp	2
HG251	Tổ chức sản xuất và kinh doanh nông nghiệp	3
HG252	Thương mại nông nghiệp	3
HG253E	Anh văn chuyên ngành Kinh doanh nông nghiệp	2
HG254	Xây dựng và quản lý dự án kinh doanh	2
HG255	Công nghệ bảo quản và chế biến nông-lâm-thủy sản	3
HG256E	Quản trị và điều hành các tổ chức kinh tế hợp tác	2
HG257	Thực tập chuyên ngành - KDNN	2
HG351	Luận văn tốt nghiệp - KDNN	10
HG352	Tiểu luận tốt nghiệp - KDNN	4
HG354E	Chuyên đề tổng hợp Kinh doanh nông nghiệp	2
HR486C	Công nghệ sinh học trong nông nghiệp	3
KC039	Thực tập ngành nghề - CTGT	5
KC040T	Chuyên đề mô hình hóa và nhận dạng hệ thống	3
